,College,Term/Year Code,Total,Men,Women,Non-Binary,Caucasian,Asian American,African American,Hispanic,Native American,Unknown
2,KL ,2015,3265.0,1459.0,1806.0,,1971.0,284.0,176.0,269.0,4.0,0.0
5,KM ,2015,4266.0,2293.0,1973.0,,1795.0,630.0,145.0,257.0,2.0,0.0
8,KN ,2015,1195.0,229.0,966.0,,700.0,98.0,134.0,116.0,3.0,0.0
11,KP ,2015,10732.0,8655.0,2076.0,,3892.0,1914.0,128.0,486.0,8.0,1.0
14,KR ,2015,2321.0,1028.0,1292.0,,1178.0,188.0,104.0,200.0,2.0,1.0
17,KS ,2015,76.0,48.0,28.0,,48.0,4.0,2.0,0.0,0.0,0.0
20,KT ,2015,1104.0,365.0,739.0,,632.0,100.0,78.0,103.0,0.0,0.0
23,KU ,2015,580.0,332.0,248.0,,258.0,50.0,31.0,40.0,0.0,0.0
26,KV ,2015,14032.0,7266.0,6765.0,,6094.0,2227.0,808.0,1335.0,12.0,1.0
28,KW ,2015,2790.0,1650.0,1140.0,,1237.0,449.0,211.0,419.0,2.0,0.0
31,KY ,2015,2181.0,699.0,1482.0,,1266.0,253.0,248.0,255.0,3.0,0.0
34,LC ,2015,567.0,94.0,472.0,,422.0,20.0,2.0,16.0,0.0,1.0
39,LG ,2015,186.0,58.0,128.0,,62.0,17.0,20.0,10.0,1.0,0.0
42,LL ,2015,468.0,56.0,412.0,,282.0,29.0,61.0,64.0,0.0,0.0
45,LN ,2015,52.0,16.0,36.0,,38.0,0.0,6.0,2.0,0.0,0.0
48,LP ,2015,271.0,73.0,198.0,,193.0,6.0,12.0,20.0,0.0,0.0
50,NB ,2015,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0
