,College,Term/Year Code,Total,Men,Women,Non-Binary,Caucasian,Asian American,African American,Hispanic,Native American,Unknown,percentCaucasian
0,KL ,2005,2729.0,1162.0,1563.0,4.0,2157.0,164.0,91.0,88.0,1.0,,79.03994137046537
1,KL ,2010,2867.0,1290.0,1574.0,3.0,2012.0,160.0,115.0,144.0,4.0,,70.17788629229159
2,KL ,2015,3265.0,1459.0,1806.0,,1971.0,284.0,176.0,269.0,4.0,0.0,60.36753445635529
3,KM ,2005,3760.0,2220.0,1534.0,6.0,2202.0,514.0,162.0,194.0,7.0,,58.56382978723404
4,KM ,2010,3886.0,2220.0,1664.0,2.0,1996.0,585.0,151.0,201.0,2.0,,51.363870303654146
5,KM ,2015,4266.0,2293.0,1973.0,,1795.0,630.0,145.0,257.0,2.0,0.0,42.07688701359588
6,KN ,2005,1515.0,290.0,1224.0,1.0,962.0,75.0,131.0,89.0,10.0,,63.4983498349835
7,KN ,2010,1393.0,274.0,1118.0,1.0,883.0,94.0,143.0,93.0,3.0,,63.388370423546306
8,KN ,2015,1195.0,229.0,966.0,,700.0,98.0,134.0,116.0,3.0,0.0,58.57740585774059
9,KP ,2005,7439.0,6327.0,1106.0,6.0,4164.0,1146.0,128.0,244.0,14.0,,55.97526549267374
10,KP ,2010,8620.0,7194.0,1417.0,9.0,4102.0,1152.0,127.0,303.0,11.0,,47.58700696055684
11,KP ,2015,10732.0,8655.0,2076.0,,3892.0,1914.0,128.0,486.0,8.0,1.0,36.265374580693255
12,KR ,2005,2770.0,1279.0,1490.0,1.0,1987.0,219.0,87.0,124.0,8.0,,71.73285198555956
13,KR ,2010,2639.0,1217.0,1421.0,1.0,1697.0,208.0,103.0,168.0,2.0,,64.304660856385
14,KR ,2015,2321.0,1028.0,1292.0,,1178.0,188.0,104.0,200.0,2.0,1.0,50.75398535114175
15,KS ,2005,4.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,,50.0
16,KS ,2010,14.0,5.0,9.0,0.0,7.0,3.0,1.0,2.0,0.0,,50.0
17,KS ,2015,76.0,48.0,28.0,,48.0,4.0,2.0,0.0,0.0,0.0,63.1578947368421
18,KT ,2005,673.0,213.0,460.0,0.0,460.0,51.0,55.0,54.0,2.0,,68.35066864784547
19,KT ,2010,1077.0,349.0,728.0,0.0,671.0,87.0,93.0,81.0,1.0,,62.302692664809655
20,KT ,2015,1104.0,365.0,739.0,,632.0,100.0,78.0,103.0,0.0,0.0,57.2463768115942
21,KU ,2005,668.0,397.0,270.0,1.0,366.0,121.0,39.0,49.0,4.0,,54.79041916167665
22,KU ,2010,735.0,403.0,332.0,0.0,429.0,61.0,42.0,41.0,4.0,,58.36734693877551
23,KU ,2015,580.0,332.0,248.0,,258.0,50.0,31.0,40.0,0.0,0.0,44.48275862068966
