,Term/Year Code,College,Major Name,Total,Men,Women,Non-Binary,Caucasian,Asian American,African American,Hispanic,Native American,Unknown,International
0,2005,KM ,Accountancy ,1261.0,687.0,572.0,2.0,740.0,189.0,46.0,60.0,2.0,0.0,224.0
1,2010,KM ,Accountancy ,1273.0,672.0,601.0,0.0,604.0,225.0,36.0,51.0,1.0,0.0,356.0
2,2015,KM ,Accountancy ,1422.0,687.0,735.0,0.0,526.0,205.0,29.0,63.0,0.0,0.0,599.0
3,2005,KV ,Actuarial Science ,249.0,167.0,82.0,0.0,159.0,38.0,6.0,7.0,1.0,0.0,38.0
4,2010,KV ,Actuarial Science ,292.0,169.0,123.0,0.0,123.0,47.0,7.0,7.0,0.0,0.0,108.0
5,2015,KV ,Actuarial Science ,389.0,224.0,164.0,0.0,152.0,75.0,3.0,16.0,0.0,1.0,142.0
6,2005,KT ,Advertising ,263.0,67.0,196.0,0.0,193.0,22.0,16.0,13.0,2.0,0.0,17.0
7,2010,KT ,Advertising ,526.0,158.0,368.0,0.0,335.0,46.0,41.0,34.0,1.0,0.0,69.0
8,2015,KT ,Advertising ,589.0,186.0,403.0,0.0,365.0,57.0,27.0,44.0,0.0,0.0,96.0
9,2005,KP ,Aero & Astro Engineering ,48.0,42.0,6.0,0.0,30.0,2.0,1.0,0.0,0.0,0.0,15.0
10,2005,KP ,Aerospace Engineering ,381.0,326.0,55.0,0.0,281.0,48.0,5.0,12.0,1.0,0.0,34.0
11,2010,KP ,Aerospace Engineering ,526.0,456.0,70.0,0.0,312.0,64.0,8.0,21.0,4.0,0.0,117.0
12,2015,KP ,Aerospace Engineering ,657.0,588.0,69.0,0.0,322.0,111.0,6.0,55.0,1.0,0.0,162.0
13,2010,KV ,African American Studies ,7.0,4.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0
14,2015,KV ,African American Studies ,11.0,3.0,8.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
15,2005,KV ,African Studies ,11.0,4.0,7.0,0.0,3.0,0.0,6.0,1.0,0.0,0.0,1.0
16,2010,KV ,African Studies ,12.0,8.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,5.0
17,2015,KV ,African Studies ,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
18,2005,KL ,Agr & Consumer Economics ,83.0,49.0,34.0,0.0,25.0,3.0,1.0,0.0,0.0,0.0,54.0
19,2010,KL ,Agr & Consumer Economics ,612.0,402.0,210.0,0.0,418.0,41.0,25.0,26.0,0.0,0.0,102.0
20,2015,KL ,Agr & Consumer Economics ,670.0,445.0,225.0,0.0,454.0,75.0,29.0,35.0,1.0,0.0,76.0
21,2005,KL ,Agr & Environmental Cmc & Educ ,103.0,30.0,73.0,0.0,92.0,0.0,8.0,2.0,0.0,0.0,1.0
22,2010,KL ,Agr & Environmental Cmc & Educ ,90.0,26.0,64.0,0.0,81.0,1.0,6.0,0.0,0.0,0.0,2.0
23,2005,KL ,Agr Engineering & Agr Science ,37.0,34.0,3.0,0.0,33.0,2.0,0.0,1.0,0.0,0.0,1.0
24,2010,KL ,Agr Engineering & Agr Science ,41.0,35.0,6.0,0.0,34.0,2.0,1.0,2.0,0.0,0.0,2.0
25,2015,KL ,Agr Engineering & Agr Science ,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,2005,KL ,"Agribusiness, Farm & Financial ",317.0,232.0,83.0,2.0,276.0,11.0,16.0,11.0,0.0,0.0,3.0
27,2015,KL ,Agric Leadership & Sci Educ ,55.0,21.0,34.0,0.0,49.0,0.0,2.0,3.0,0.0,0.0,1.0
28,2015,KL ,Agricultural & Applied Econ ,83.0,47.0,36.0,0.0,19.0,3.0,2.0,1.0,0.0,0.0,58.0
29,2010,KL ,Agricultural & Biological Engr ,29.0,24.0,5.0,0.0,20.0,6.0,1.0,1.0,0.0,0.0,1.0
30,2010,KP ,Agricultural & Biological Engr ,102.0,71.0,31.0,0.0,54.0,11.0,1.0,3.0,0.0,0.0,33.0
31,2015,KL ,Agricultural & Biological Engr ,98.0,64.0,34.0,0.0,50.0,14.0,6.0,5.0,0.0,0.0,23.0
32,2015,KP ,Agricultural & Biological Engr ,126.0,88.0,38.0,0.0,54.0,9.0,1.0,5.0,0.0,0.0,57.0
33,2015,KT ,Agricultural Communications ,41.0,8.0,33.0,0.0,35.0,0.0,2.0,3.0,0.0,0.0,1.0
34,2005,KL ,Agricultural Economics ,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,2005,KL ,Agricultural Education ,7.0,1.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
36,2010,KL ,Agricultural Education ,6.0,2.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
37,2015,KL ,Agricultural Education ,10.0,4.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0
38,2005,KP ,Agricultural Engineering ,93.0,77.0,16.0,0.0,61.0,4.0,2.0,4.0,0.0,0.0,22.0
39,2010,KP ,Agricultural Engineering ,44.0,37.0,7.0,0.0,30.0,1.0,1.0,1.0,0.0,0.0,11.0
40,2010,KL ,Agricultural Production ,7.0,3.0,4.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
41,2015,KL ,Agricultural Production ,8.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0
42,2015,KL ,Agriculture ,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,2005,KL ,Animal Sciences ,598.0,163.0,435.0,0.0,510.0,24.0,11.0,22.0,0.0,0.0,31.0
44,2010,KL ,Animal Sciences ,600.0,153.0,446.0,1.0,461.0,21.0,20.0,41.0,1.0,0.0,56.0
