Term/Year Code,College,Dept,Degree,Major code,Major Name,Total,Men,Women,Non-Binary,Caucasian,Asian American,African American,Hispanic,Native American
,,,,,,,,,,,,,,
2005 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",82,49,33,0,70,5,4,2,0
2005 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",67,50,17,0,52,3,6,6,0
2005 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",40,36,3,1,37,1,0,0,0
2005 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",128,97,30,1,117,2,6,3,0
2005 ,KL ,470 ,BS ,0014 ,Consumer and Textile Marketing ,54,2,52,0,44,6,4,0,0
2005 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",104,67,37,0,83,8,5,5,0
2005 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",16,7,9,0,14,1,1,0,0
2005 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",1,1,0,0,0,1,0,0,0
2005 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",53,30,23,0,34,11,2,4,0
2005 ,KL ,470 ,MS ,0176 ,Agr & Consumer Economics ,28,16,12,0,16,1,1,0,0
2005 ,KL ,470 ,PHD ,0001 ,Agricultural Economics ,1,1,0,0,0,0,1,0,0
2005 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,55,33,22,0,9,2,0,0,0
2005 ,KL ,483 ,NDEG ,0067 ,Nondegree ,11,5,6,0,1,0,0,0,0
2005 ,KL ,538 ,BS ,0002 ,Animal Sciences ,1,0,1,0,1,0,0,0,0
2005 ,KL ,538 ,BS ,0002 ,Animal Sciences ,23,14,9,0,22,1,0,0,0
2005 ,KL ,538 ,BS ,0002 ,Animal Sciences ,115,17,98,0,104,7,3,1,0
2005 ,KL ,538 ,BS ,0002 ,Animal Sciences ,26,11,15,0,26,0,0,0,0
2005 ,KL ,538 ,BS ,0002 ,Animal Sciences ,342,84,258,0,293,12,8,19,0
2005 ,KL ,538 ,MS ,0002 ,Animal Sciences ,54,17,37,0,44,2,0,1,0
