,Term/Year Code,College,Major Name,Total,Men,Women,Non-Binary,Caucasian,Asian American,African American,Hispanic,Native American
0,2010,KL ,Agr & Consumer Economics ,612.0,402.0,210.0,0.0,418.0,41.0,25.0,26.0,0.0
1,2010,KL ,Agr & Environmental Cmc & Educ ,90.0,26.0,64.0,0.0,81.0,1.0,6.0,0.0,0.0
2,2010,KL ,Agr Engineering & Agr Science ,41.0,35.0,6.0,0.0,34.0,2.0,1.0,2.0,0.0
3,2010,KL ,Agricultural & Biological Engr ,29.0,24.0,5.0,0.0,20.0,6.0,1.0,1.0,0.0
4,2010,KL ,Agricultural Education ,6.0,2.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0
5,2010,KL ,Agricultural Production ,7.0,3.0,4.0,0.0,6.0,0.0,0.0,1.0,0.0
6,2010,KL ,Animal Sciences ,600.0,153.0,446.0,1.0,461.0,21.0,20.0,41.0,1.0
7,2010,KL ,Bioenergy ,12.0,10.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0
8,2010,KL ,Bioinformatics ,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2010,KL ,Crop Sciences ,194.0,139.0,55.0,0.0,142.0,4.0,1.0,1.0,2.0
10,2010,KL ,Food Science & Human Nutrition ,439.0,96.0,343.0,0.0,267.0,38.0,17.0,20.0,0.0
11,2010,KL ,Horticulture ,43.0,29.0,14.0,0.0,37.0,0.0,1.0,2.0,1.0
12,2010,KL ,Human & Community Development ,33.0,7.0,26.0,0.0,20.0,3.0,4.0,1.0,0.0
13,2010,KL ,Human Development & Family St ,213.0,20.0,191.0,2.0,142.0,15.0,22.0,18.0,0.0
14,2010,KL ,Natural Res & Env Sciences ,70.0,42.0,28.0,0.0,47.0,2.0,0.0,2.0,0.0
15,2010,KL ,Natural Resrcs & Environ Sci ,187.0,102.0,85.0,0.0,143.0,9.0,3.0,10.0,0.0
16,2010,KL ,Nondegree ,75.0,36.0,39.0,0.0,47.0,0.0,1.0,2.0,0.0
17,2010,KL ,Nutritional Sciences ,57.0,16.0,41.0,0.0,32.0,7.0,1.0,3.0,0.0
18,2010,KL ,Technical Systems Management ,149.0,139.0,10.0,0.0,102.0,10.0,12.0,14.0,0.0
19,2010,KM ,Accountancy ,1273.0,672.0,601.0,0.0,604.0,225.0,36.0,51.0,1.0
20,2010,KM ,Business Administration ,58.0,31.0,27.0,0.0,18.0,4.0,0.0,0.0,0.0
21,2010,KM ,Business Administration (MBA) ,319.0,221.0,97.0,1.0,149.0,39.0,24.0,5.0,0.0
22,2010,KM ,Business Process Management ,23.0,12.0,11.0,0.0,15.0,2.0,1.0,2.0,0.0
23,2010,KM ,Curric Unassigned ,1020.0,583.0,437.0,0.0,643.0,168.0,38.0,68.0,1.0
24,2010,KM ,Finance ,578.0,388.0,190.0,0.0,249.0,97.0,12.0,30.0,0.0
25,2010,KM ,Information Sys & Info Tech ,32.0,25.0,7.0,0.0,16.0,4.0,5.0,3.0,0.0
26,2010,KM ,Management ,181.0,91.0,89.0,1.0,119.0,17.0,13.0,19.0,0.0
27,2010,KM ,Marketing ,201.0,68.0,133.0,0.0,136.0,14.0,19.0,20.0,0.0
28,2010,KM ,Nondegree ,61.0,39.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2010,KM ,Supply Chain Management ,52.0,32.0,20.0,0.0,34.0,8.0,0.0,3.0,0.0
30,2010,KM ,Taxation ,29.0,16.0,13.0,0.0,12.0,4.0,3.0,0.0,0.0
31,2010,KM ,Technology Management ,59.0,42.0,17.0,0.0,1.0,3.0,0.0,0.0,0.0
32,2010,KN ,Curriculum and Instruction ,89.0,20.0,69.0,0.0,54.0,10.0,6.0,5.0,1.0
33,2010,KN ,Early Childhood Education ,44.0,0.0,44.0,0.0,28.0,5.0,6.0,3.0,0.0
34,2010,KN ,Ed Organization and Leadership ,136.0,55.0,81.0,0.0,100.0,6.0,19.0,4.0,0.0
35,2010,KN ,Educational Policy Studies ,149.0,53.0,96.0,0.0,31.0,8.0,54.0,33.0,2.0
36,2010,KN ,Educational Psychology ,93.0,27.0,66.0,0.0,34.0,4.0,11.0,9.0,0.0
37,2010,KN ,Elementary Education ,308.0,19.0,288.0,1.0,238.0,22.0,12.0,16.0,0.0
38,2010,KN ,Human Resource Education ,89.0,41.0,48.0,0.0,33.0,6.0,15.0,2.0,0.0
39,2010,KN ,Nondegree ,12.0,3.0,9.0,0.0,8.0,0.0,0.0,1.0,0.0
40,2010,KN ,Pre-Early Chld/Elem Ed/Spec Ed ,287.0,21.0,266.0,0.0,227.0,25.0,10.0,15.0,0.0
41,2010,KN ,Secondary & Continuing Educ ,33.0,12.0,21.0,0.0,9.0,1.0,3.0,1.0,0.0
42,2010,KN ,Secondary Education ,13.0,6.0,7.0,0.0,10.0,2.0,0.0,0.0,0.0
43,2010,KN ,Special Education ,140.0,17.0,123.0,0.0,111.0,5.0,7.0,4.0,0.0
44,2010,KP ,Aerospace Engineering ,526.0,456.0,70.0,0.0,312.0,64.0,8.0,21.0,4.0
45,2010,KP ,Agricultural & Biological Engr ,102.0,71.0,31.0,0.0,54.0,11.0,1.0,3.0,0.0
46,2010,KP ,Agricultural Engineering ,44.0,37.0,7.0,0.0,30.0,1.0,1.0,1.0,0.0
47,2010,KP ,Bioengineering ,200.0,126.0,74.0,0.0,113.0,43.0,1.0,7.0,1.0
48,2010,KP ,Bioinformatics ,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
49,2010,KP ,Civil Engineering ,1169.0,875.0,291.0,3.0,678.0,103.0,27.0,43.0,0.0
50,2010,KP ,Computer Engineering ,524.0,480.0,43.0,1.0,240.0,99.0,13.0,32.0,2.0
51,2010,KP ,Computer Science ,1169.0,1033.0,136.0,0.0,458.0,194.0,11.0,20.0,0.0
