Term/Year Code,College,Dept,Degree,Major code,Major Name,Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American
2015 ,KL ,306 ,MS ,5186 ,Bioenergy ,19,12,7,0,4,2,0,1,0
2015 ,KL ,306 ,MS ,5188 ,Agricultural Production ,8,2,6,0,3,0,0,0,0
2015 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,24,8,16,0,22,0,0,1,0
2015 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,31,13,18,0,27,0,2,2,0
2015 ,KL ,342 ,MS ,0181 ,Agricultural Education ,10,4,6,0,8,0,0,0,0
2015 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,65,36,29,0,48,9,2,2,0
2015 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,25,22,3,0,24,0,0,0,1
2015 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,174,127,47,0,133,12,7,3,0
2015 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,98,74,24,0,69,10,3,5,0
2015 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,24,10,14,0,11,4,2,2,0
2015 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,53,28,25,0,22,9,3,7,0
2015 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,63,31,32,0,35,6,8,9,0
2015 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,94,65,29,0,57,18,1,6,0
2015 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,73,52,21,0,55,7,3,1,0
2015 ,KL ,470 ,MS ,5273 ,Agricultural & Applied Econ ,33,19,14,0,17,1,1,1,0
2015 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,1,0,1,0,0,0,0,0,0
2015 ,KL ,470 ,PHD ,5273 ,Agricultural & Applied Econ ,50,28,22,0,2,2,1,0,0
2015 ,KL ,483 ,NDEG ,0067 ,Nondegree ,119,68,51,0,68,1,3,2,1
2015 ,KL ,538 ,BS ,0002 ,Animal Sciences ,1,0,1,0,1,0,0,0,0
2015 ,KL ,538 ,BS ,0002 ,Animal Sciences ,1,0,1,0,1,0,0,0,0
2015 ,KL ,538 ,BS ,0002 ,Animal Sciences ,42,12,30,0,36,1,2,3,0
2015 ,KL ,538 ,BS ,0002 ,Animal Sciences ,70,8,62,0,46,3,5,9,0
2015 ,KL ,538 ,BS ,0002 ,Animal Sciences ,409,63,346,0,263,38,20,63,0
2015 ,KL ,538 ,BS ,8501 ,Agriculture ,1,1,0,0,0,0,1,0,0
2015 ,KL ,538 ,MS ,0002 ,Animal Sciences ,56,18,38,0,41,1,1,4,0
2015 ,KL ,538 ,MS ,4026 ,Bioinformatics ,1,0,1,0,1,0,0,0,0
2015 ,KL ,538 ,PHD ,0002 ,Animal Sciences ,41,22,19,0,18,2,1,2,0
2015 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,149,42,107,0,72,18,17,9,0
2015 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,107,19,88,0,54,24,7,14,0
2015 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,80,3,77,0,49,12,2,7,0
2015 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,56,19,37,0,35,3,4,6,0
2015 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,26,11,15,0,9,3,1,0,0
2015 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,9,1,8,0,3,2,0,0,0
2015 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,16,4,12,0,4,2,0,1,0
2015 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,2,0,2,0,2,0,0,0,0
2015 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,37,15,22,0,10,2,1,0,0
2015 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,11,5,6,0,5,2,0,0,0
2015 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,193,173,20,0,109,24,25,24,1
2015 ,KL ,741 ,BSAG ,0029 ,Agr Engineering & Agr Science ,1,1,0,0,0,0,0,1,0
2015 ,KL ,741 ,BSAG ,5163 ,Agricultural & Biological Engr ,98,64,34,0,50,14,6,5,0
2015 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,2,2,0,0,1,0,0,1,0
2015 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,1,1,0,0,0,0,0,0,0
2015 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,9,5,4,0,1,1,3,0,0
2015 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,150,17,133,0,86,11,16,24,0
2015 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,48,7,41,0,23,5,10,9,0
2015 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,3,0,3,0,2,0,0,1,0
2015 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,1,1,0,0,0,0,0,0,0
2015 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,28,4,24,0,11,1,3,7,0
2015 ,KL ,802 ,BS ,0030 ,Crop Sciences ,5,4,1,0,3,0,0,0,0
2015 ,KL ,802 ,BS ,0030 ,Crop Sciences ,39,28,11,0,36,0,0,0,0
2015 ,KL ,802 ,BS ,0030 ,Crop Sciences ,52,35,17,0,45,3,1,1,0
2015 ,KL ,802 ,BS ,0030 ,Crop Sciences ,53,28,25,0,40,3,2,1,0
2015 ,KL ,802 ,BS ,0030 ,Crop Sciences ,4,1,3,0,4,0,0,0,0
2015 ,KL ,802 ,BS ,0030 ,Crop Sciences ,5,3,2,0,4,1,0,0,0
2015 ,KL ,802 ,BS ,0063 ,Horticulture ,5,1,4,0,5,0,0,0,0
2015 ,KL ,802 ,BS ,0063 ,Horticulture ,19,5,14,0,11,3,0,4,0
2015 ,KL ,802 ,MS ,0030 ,Crop Sciences ,42,15,27,0,26,0,0,1,1
2015 ,KL ,802 ,MS ,4026 ,Bioinformatics ,1,1,0,0,0,1,0,0,0
2015 ,KL ,802 ,NONE ,0030 ,Crop Sciences ,2,1,1,0,1,0,0,0,0
2015 ,KL ,802 ,PHD ,0030 ,Crop Sciences ,62,37,25,0,27,1,1,2,0
2015 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,52,34,18,0,38,4,2,1,0
2015 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,4,1,3,0,4,0,0,0,0
2015 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,73,33,40,0,39,3,4,11,0
2015 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,74,42,32,0,42,3,2,7,0
2015 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,32,14,18,0,18,3,0,2,0
2015 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,55,31,24,0,45,1,1,2,0
2015 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,2,0,2,0,2,0,0,0,0
2015 ,KL ,875 ,PHD ,0190 ,Natural Res & Env Sciences ,26,15,11,0,20,0,1,0,0
2015 ,KL ,971 ,MS ,0191 ,Nutritional Sciences ,18,3,15,0,12,2,0,3,0
2015 ,KL ,971 ,PHD ,0191 ,Nutritional Sciences ,27,10,17,0,11,6,1,2,0
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
