,Term/Year Code,College,Major Name,Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American
0,2015,KL ,Agr & Consumer Economics ,670.0,445.0,225.0,0.0,454.0,75.0,29.0,35.0,1.0
1,2015,KL ,Agr Engineering & Agr Science ,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,2015,KL ,Agric Leadership & Sci Educ ,55.0,21.0,34.0,0.0,49.0,0.0,2.0,3.0,0.0
3,2015,KL ,Agricultural & Applied Econ ,83.0,47.0,36.0,0.0,19.0,3.0,2.0,1.0,0.0
4,2015,KL ,Agricultural & Biological Engr ,98.0,64.0,34.0,0.0,50.0,14.0,6.0,5.0,0.0
5,2015,KL ,Agricultural Education ,10.0,4.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0
6,2015,KL ,Agricultural Production ,8.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0
7,2015,KL ,Agriculture ,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,2015,KL ,Animal Sciences ,620.0,123.0,497.0,0.0,406.0,45.0,29.0,81.0,0.0
9,2015,KL ,Bioenergy ,19.0,12.0,7.0,0.0,4.0,2.0,0.0,1.0,0.0
10,2015,KL ,Bioinformatics ,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
11,2015,KL ,Crop Sciences ,264.0,152.0,112.0,0.0,186.0,8.0,4.0,5.0,1.0
12,2015,KL ,Food Science & Human Nutrition ,493.0,119.0,374.0,0.0,243.0,68.0,32.0,37.0,0.0
13,2015,KL ,Horticulture ,24.0,6.0,18.0,0.0,16.0,3.0,0.0,4.0,0.0
14,2015,KL ,Human & Community Development ,32.0,5.0,27.0,0.0,13.0,1.0,3.0,8.0,0.0
15,2015,KL ,Human Development & Family St ,198.0,24.0,174.0,0.0,109.0,16.0,26.0,33.0,0.0
16,2015,KL ,Natural Res & Env Sciences ,83.0,46.0,37.0,0.0,67.0,1.0,2.0,2.0,0.0
17,2015,KL ,Natural Resrcs & Environ Sci ,235.0,124.0,111.0,0.0,141.0,13.0,8.0,21.0,0.0
